doi,title,pmid,authors,year,issns,supporting_cites,disputing_cites,mentioning_cites,total_cites,scite_report_link,fields,first_approach,second_approach,third_approach
10.1007/978-90-481-2666-8_12,"Plant Drought Stress: Effects, Mechanisms and Management",,"['M. Farooq', 'A. Wahid', 'N. Kobayashi', 'D. Fujita', 'S. M. A. Basra']",2009.0,[],25.0,2.0,754.0,781.0,https://scite.ai/reports/plant-drought-stress-effects-mechanisms-3j8jOy,No data.,0.0,0.0,0.0
10.1037/0022-3514.71.3.498,Received and perceived social support in times of stress: A test of the social support deterioration deterrence model.,,"['Fran H. Norris', 'Krzysztof Kaniasty']",1996.0,"['1939-1315', '0022-3514']",25.0,2.0,278.0,305.0,https://scite.ai/reports/received-and-perceived-social-support-825lXO,No data.,0.0,0.0,0.0
10.1111/j.1467-9442.2006.00444.x,Achieving Compliance when Legal Sanctions are Non-deterrent*,,"['Jean-Robert Tyran', 'Lars P. Feld']",2006.0,"['0347-0520', '1467-9442']",19.0,6.0,250.0,275.0,https://scite.ai/reports/achieving-compliance-when-legal-sanctions-9rGOJE,Norm (social)_Public good_Economics_Public law_Law and economics_Law_Sanctions_Voting,0.0,0.0,0.0
10.1113/jphysiol.2002.030924,Functional analysis of neurotransmission at β2‐laminin deficient terminals,12563004.0,"['David Knight', 'Lynn K. Tolley', 'David K. Kim', 'Nick A. Lavidis', 'Peter G. Noakes']",2003.0,"['0022-3751', '1469-7793']",19.0,0.0,87.0,106.0,https://scite.ai/reports/functional-analysis-of-neurotransmission-at-9m0drr,Synapse_Synaptic vesicle_Neuroscience_Neurotransmission_Schwann cell_Neuromuscular junction_Extracellular_Neural facilitation_Synaptic cleft_Biology_Cell biology,0.0,0.0,0.0
10.1057/ejis.2009.6,Protection motivation and deterrence: a framework for security policy compliance in organisations,,"['Tejaswini Herath', 'H Raghav Rao']",2009.0,"['0960-085X', '1476-9344']",18.0,2.0,347.0,367.0,https://scite.ai/reports/protection-motivation-and-deterrence-a-D6zMYe,Information technology_Business_Security policy_Information system_Management information systems_Public relations_Information security_Deterrence theory_Strategic information system_Information science,0.0,0.0,0.0
10.1128/jvi.01012-07,Severe Acute Respiratory Syndrome Coronavirus ORF6 Antagonizes STAT1 Function by Sequestering Nuclear Import Factors on the Rough Endoplasmic Reticulum/Golgi Membrane,,"['Matthew Frieman', 'Boyd Yount', 'Mark Heise', 'Sarah A. Kopecky-Bromberg', 'Peter Palese', 'Ralph S. Baric']",2007.0,"['0022-538X', '1098-5514']",18.0,0.0,312.0,330.0,https://scite.ai/reports/severe-acute-respiratory-syndrome-coronavirus-wvGeR9,Golgi apparatus_Innate immune system_Endoplasmic reticulum_Virology_Coronavirus_Karyopherin alpha 2_Golgi membrane_Beta Karyopherins_Nuclear transport_Biology_Cell biology,0.0,0.0,0.0
10.3114/sim.53.1.173,Seeking the elusive function of the root-colonising dark septate endophytic fungi,,"['Keerthi Mandyam', 'Ari Jumpponen']",2005.0,['0166-0616'],18.0,0.0,270.0,288.0,https://scite.ai/reports/seeking-the-elusive-function-of-wA641z,Colonisation_Mutualism (biology)_Ecology_Endophyte_Mycorrhiza_Dark septate endophyte_Symbiosis_Botany_Rhizosphere_Biology_Plant use of endophytic fungi in defense,0.0,0.0,0.0
10.1104/pp.126.2.811,Genetic Control of Natural Variation in Arabidopsis Glucosinolate Accumulation,11402209.0,"['Daniel J. Kliebenstein', 'Juergen Kroymann', 'Paul Brown', 'Antje Figuth', 'Deana Pedersen', 'Jonathan Gershenzon', 'Thomas Mitchell-Olds']",2001.0,"['0032-0889', '1532-2548']",18.0,3.0,528.0,549.0,https://scite.ai/reports/genetic-control-of-natural-variation-OLnPlA,Ecotype_Genetic variability_Metabolic pathway_Brassicaceae_Arabidopsis thaliana_Glucosinolate_Arabidopsis_Brassicales_Botany_Biology,0.0,0.0,0.0
10.1086/449268,Criminal Deterrence Research at the Outset of the Twenty-First Century,,['Daniel S. Nagin'],1998.0,"['0192-3234', '2153-0416']",18.0,2.0,405.0,425.0,https://scite.ai/reports/criminal-deterrence-research-at-the-Pd9a2k,Engineering_Human factors and ergonomics_Occupational safety and health_Injury prevention_Twenty-First Century_Accident prevention_Poison control_Computer security_Suicide prevention_Deterrence theory_Criminology,0.0,0.0,0.0
10.2307/3053861,"Conscience, Significant Others, and Rational Choice: Extending the Deterrence Model",,"['Harold G. Grasmick', 'Robert J. Bursik Jr.']",1990.0,['0023-9216'],18.0,3.0,352.0,373.0,https://scite.ai/reports/conscience-significant-others-and-rational-Y6ppGz,Conscience_Positive economics_Rational choice theory_Economics_Deterrence theory_Criminology,0.0,0.0,0.0
10.1086/666376,Access-Based Consumption: The Case of Car Sharing: Table 1.,,"['Fleura Bardhi', 'Giana M. Eckhardt']",2012.0,"['0093-5301', '1537-5277']",17.0,9.0,748.0,774.0,https://scite.ai/reports/access-based-consumption-the-case-of-30DOKb,Advertising_Temporality_Economics_Marketing_Reciprocity (cultural anthropology)_Anonymity_Brand community_Sign value_Mediation (Marxist theory and media studies)_Sharing economy_Corporate governance,0.0,0.0,0.0
10.1023/b:lahu.0000046433.57588.71,The social side of sanctions: Personal and social norms as moderators of deterrence.,,['Michael Wenzel'],2004.0,"['1573-661X', '0147-7307']",17.0,1.0,153.0,171.0,https://scite.ai/reports/the-social-side-of-sanctions-glLRRd,Norm (social)_Conformity_Legal psychology_Psychology_Honesty_Sanctions_Tax evasion_Deterrence theory_Social psychology,0.0,0.0,0.0
10.1086/449163,Police Crackdowns: Initial and Residual Deterrence,,['Lawrence W. Sherman'],1990.0,"['0192-3234', '2153-0416']",17.0,0.0,231.0,248.0,https://scite.ai/reports/police-crackdowns-initial-and-residual-Lg2lWQ,Political science_Law_Officer_Sanctions_Apprehension_Crime displacement_Foot patrol_Deterrence theory,1.0,0.0,1.0
10.1111/j.1099-1123.2009.00403.x,"Audit Quality, Corporate Governance, and Earnings Management: A Meta-Analysis",,"['Jerry W. Lin', 'Mark I. Hwang']",2010.0,"['1090-6738', '1099-1123']",15.0,1.0,126.0,142.0,https://scite.ai/reports/audit-quality-corporate-governance-and-kP5N5M,Finance_Accounting_Chief audit executive_Quality audit_Business_Auditor independence_Audit evidence_Internal audit_Joint audit_Earnings management_Auditor's report,0.0,0.0,0.0
10.1073/pnas.0711730105,Nonuniform distribution of glucosinolates in Arabidopsis thaliana leaves has important consequences for plant defense,18408160.0,"['R. Shroff', 'F. Vergara', 'A. Muck', 'A. Svatos', 'J. Gershenzon']",2008.0,"['0027-8424', '1091-6490']",15.0,1.0,191.0,207.0,https://scite.ai/reports/nonuniform-distribution-of-glucosinolates-in-MDkvr0,Myrosinase_Lepidoptera genitalia_Plant defense against herbivory_Arabidopsis thaliana_Helicoverpa armigera_Glucosinolate_Arabidopsis_Botany_Biology_Rosette (botany),0.0,0.0,0.0
10.1016/j.physbeh.2005.10.018,"Bitter taste markers explain variability in vegetable sweetness, bitterness, and intake",,"['M.E. Dinehart', 'J.E. Hayes', 'L.M. Bartoshuk', 'S.L. Lanier', 'V.B. Duffy']",2006.0,['0031-9384'],15.0,1.0,201.0,217.0,https://scite.ai/reports/bitter-taste-markers-explain-variability-KzxKr2,TAS2R38_Sweetness_Chorda tympani nerve_Taste function_Bitter taste_Food preference_Food science_Supertaster_Biology_Taste,0.0,0.0,0.0
10.1111/j.1365-313x.2006.03019.x,Myzus persicae (green peach aphid) feeding on Arabidopsis induces the formation of a deterrent indole glucosinolate,,"['Jae Hak Kim', 'Georg Jander']",2007.0,"['0960-7412', '1365-313X']",15.0,7.0,298.0,320.0,https://scite.ai/reports/myzus-persicae-green-peach-aphid-R9X9gG,Myrosinase_Plant defense against herbivory_Indole test_Aphid_Myzus persicae_Glucosinolate_Arabidopsis_Glucosinolate transport_Botany_Biology,0.0,0.0,0.0
10.1523/jneurosci.1939-04.2004,Decreased Signs of Nicotine Withdrawal in Mice Null for the  4 Nicotinic Acetylcholine Receptor Subunit,,['R. Salas'],2004.0,"['0270-6474', '1529-2401']",15.0,1.0,208.0,224.0,https://scite.ai/reports/decreased-signs-of-nicotine-withdrawal-ZdLkR9,Kindling_Nicotinic agonist_Mecamylamine_Nicotine withdrawal_Nicotine_Nicotinic acetylcholine receptor_Epibatidine_Medicine_Acetylcholine receptor_Pharmacology,0.0,0.0,0.0
10.1080/09540120512331325671,"Acceptability of male circumcision and predictors of circumcision preference among men and women in Nyanza Province, Kenya",,"['C. L. Mattson', 'R. C. Bailey', 'R. Muga', 'R. Poulussen', 'T. Onyango']",2005.0,"['0954-0121', '1360-0451']",15.0,2.0,88.0,105.0,https://scite.ai/reports/acceptability-of-male-circumcision-and-njywJd,Social environment_Feeling_Public health_Cross-sectional study_Demography_Acquired immunodeficiency syndrome (AIDS)_Population_Sexually transmitted disease_Gynecology_Risk factor_Medicine,0.0,0.0,0.0
10.1111/j.1741-3737.2005.00162.x,"""Everything's There Except Money"": How Money Shapes Decisions to Marry Among Cohabitors",,"['Pamela J. Smock', 'Wendy D. Manning', 'Meredith Porter']",2005.0,"['0022-2445', '1741-3737']",15.0,2.0,252.0,269.0,https://scite.ai/reports/everything-s-there-except-money-how-zQrG58,Gender studies_Higher education_Feeling_Sociology_Working class_Qualitative research_Middle class_Cohabitation_Disadvantaged_Politics,0.0,0.0,0.0
10.1257/aer.99.3.750,Strategic Leniency and Cartel Enforcement,,['Nathan H Miller'],2009.0,['0002-8282'],14.0,1.0,99.0,114.0,https://scite.ai/reports/strategic-leniency-and-cartel-enforcement-0pPxNr,Confession_Economics_Law_Organised crime_Cartel_Amnesty_Enforcement_Cornerstone_European union_Deterrence theory,0.0,0.0,0.0
10.1890/04-0298,Recognition And Selection Of Settlement Substrata Determine Post-Settlement Survival In Corals,,"['Lindsay Harrington', 'Katharina Fabricius', ""Glenn De'ath"", 'Andrew Negri']",2004.0,['0012-9658'],14.0,0.0,284.0,298.0,https://scite.ai/reports/recognition-and-selection-of-settlement-VYQjYZ,Coral_Ecology_Acropora tenuis_Crustose_Coelenterata_Cnidaria_Coralline algae_Reef_Coral reef_Biology,0.0,0.0,0.0
10.1097/01.alc.0000108655.51087.df,Acute Ethanol Withdrawal (Hangover) and Social Behavior in Adolescent and Adult Male and Female Sprague-Dawley Rats,,"['Elena I. Varlinskaya', 'Linda P. Spear']",2004.0,['0145-6008'],14.0,3.0,117.0,134.0,https://scite.ai/reports/acute-ethanol-withdrawal-hangover-and-pWJd8b,Social relation_Facilitation_Psychology_Social inhibition_Elevated plus maze_Anxiogenic_Sex characteristics_Social facilitation_Anesthesia_Physiology_Anxiety,0.0,0.0,0.0
10.1093/ageing/afh089,"Why older people do not participate in leisure time physical activity: a survey of activity levels, beliefs and deterrents",,['I. K. Crombie'],2004.0,"['0002-0729', '1468-2834']",14.0,3.0,186.0,203.0,https://scite.ai/reports/why-older-people-do-not-3bN60O,Psychology_Evening_Leisure time_Health knowledge_Regression modelling_Health benefits_Older people_Physical activity_Gerontology,0.0,0.0,0.0
10.1007/bf00130416,"Tax rates, tax administration and income tax evasion in Switzerland",,"['Werner W. Pommerehne', 'Hannelore Weck-Hannemann']",1996.0,"['0048-5829', '1573-7101']",14.0,0.0,127.0,141.0,https://scite.ai/reports/tax-rates-tax-administration-and-O2N99k,No data.,0.0,0.0,0.0
10.1111/j.1469-8137.1994.tb03989.x,Interactions between arbuscular mycorrhizal fungi and foliar-feeding insects in Plantago lanceolata L.,,"['A. C. Gange', 'H. M. West']",1994.0,"['0028-646X', '1469-8137']",14.0,1.0,230.0,245.0,https://scite.ai/reports/interactions-between-arbuscular-mycorrhizal-fungi-v0aZLJ,Biological pest control_Nutrient_Horticulture_Weed_Plantaginaceae_Mycorrhiza_Foliar feeding_Herbivore_Botany_Fungicide_Biology,0.0,0.0,0.0
10.1104/pp.110.161869,Ethylene Suppression of Sugar-Induced Anthocyanin Pigmentation in Arabidopsis,20876338.0,"['Seok-Won Jeong', 'Prasanta Kumar Das', 'Sae Chae Jeoung', 'Ji-Young Song', 'Hyun Kyoung Lee', 'Yeon-Ki Kim', 'Woo Jung Kim', 'Yong Il Park', 'Sang-Dong Yoo', 'Sang-Bong Choi', 'Giltsu Choi', 'Youn-Il Park']",2010.0,"['0032-0889', '1532-2548']",13.0,1.0,161.0,175.0,https://scite.ai/reports/ethylene-suppression-of-sugar-induced-anthocyanin-4m3eRP,Mutant_Plant physiology_Arabidopsis thaliana_Ethylene_Sucrose_Anthocyanin_Arabidopsis_Sugar transporter_Biochemistry_Biology,0.0,0.0,0.0
10.1007/s10964-010-9567-9,"A Longitudinal Examination of the Bidirectional Associations Among Perceived Parenting Behaviors, Adolescent Disclosure and Problem Behavior Across the High School Years",,"['Teena Willoughby', 'Chloe A. Hamza']",2010.0,"['0047-2891', '1573-6601']",13.0,2.0,100.0,115.0,https://scite.ai/reports/a-longitudinal-examination-of-the-6NvvWX,Correlation_Social relation_Developmental psychology_Health psychology_Psychology_Self-disclosure_Knowledge level_Longitudinal study_Parenting styles_Child rearing,0.0,0.0,0.0
10.1007/s10551-005-1902-9,Digital Piracy: Factors that Influence Attitude Toward Behavior,,"['Sulaiman Al-Rafee', 'Timothy Paul Cronan']",2006.0,"['0167-4544', '1573-0697']",13.0,0.0,156.0,169.0,https://scite.ai/reports/digital-piracy-factors-that-influence-vPdvPN,Advertising_Business ethics_Psychology_Cognition_Revenue_Happiness_Machiavellianism_Digital piracy_Digital material_Affect (psychology)_Social psychology,0.0,0.0,0.0
10.1111/j.1365-2656.2006.01082.x,Silica in grasses as a defence against insect herbivores: contrasting effects on folivores and a phloem feeder,,"['Fergus P. Massey', 'A. Roland Ennos', 'Sue E. Hartley']",2006.0,['0021-8790'],13.0,0.0,208.0,221.0,https://scite.ai/reports/silica-in-grasses-as-a-JrwOrw,Larva_Pupa_Insect_Folivore_Sitobion avenae_Phloem_Herbivore_Poaceae_Botany_Biology,0.0,0.0,0.0
10.1146/annurev.ento.51.110104.151146,"Botanical Insecticides, Deterrents, And Repellents In Modern Agriculture And An Increasingly Regulated World",,['Murray B. Isman'],2006.0,"['0066-4170', '1545-4487']",13.0,1.0,1496.0,1510.0,https://scite.ai/reports/botanical-insecticides-deterrents-and-repellents-gDYnMQ,Agriculture_Biopesticide_Integrated pest management_Biotechnology_Pesticide_Pyrethrum_Commercialization_Agricultural pest_Biology_Food processing,0.0,0.0,0.0
10.1359/jbmr.060612,"Low-Level, High-Frequency Mechanical Signals Enhance Musculoskeletal Development of Young Women With Low BMD",,"['Vicente Gilsanz', 'Tishya AL Wren', 'Monique Sanchez', 'Frederick Dorey', 'Stefan Judex', 'Clinton Rubin']",2006.0,['0884-0431'],13.0,4.0,272.0,289.0,https://scite.ai/reports/low-level-high-frequency-mechanical-signals-enhance-j8gyZ5,Urology_Surgery_Cancellous bone_Osteoporosis_Osteopenia_Bone tissue_Bone density_Femur_Peak bone mass_Cortical bone_Medicine,0.0,0.0,0.0
10.1104/pp.124.3.1007,Induced Plant Defense Responses against Chewing Insects. Ethylene Signaling Reduces Resistance of Arabidopsis against Egyptian Cotton Worm But Not Diamondback Moth,11080278.0,"['Henrik U. Stotz', 'Barry R. Pittendrigh', 'Jürgen Kroymann', 'Kerstin Weniger', 'Jacqueline Fritsche', 'Antje Bauke', 'Thomas Mitchell-Olds']",2000.0,"['0032-0889', '1532-2548']",13.0,1.0,177.0,191.0,https://scite.ai/reports/induced-plant-defense-responses-against-WLAzZJ,Plant defense against herbivory_Arabidopsis thaliana_Spodoptera littoralis_Methyl jasmonate_Jasmonic acid_Arabidopsis_Octadecanoid pathway_Diamondback moth_Botany_Biology_Cell biology,0.0,0.0,0.0
10.1177/002224379503200309,The Effects of Perceived Interdependence on Dealer Attitudes,,"['Nirmalya Kumar', 'Lisa K. Scheer', 'Jan-Benedict E. M. Steenkamp']",1995.0,"['0022-2437', '1547-7193']",13.0,2.0,530.0,545.0,https://scite.ai/reports/the-effects-of-perceived-interdependence-YZVG23K,No data.,0.0,0.0,0.0
10.1016/j.chemosphere.2008.12.034,"Antifeedant, larvicidal and pupicidal activities of Atalantia monophylla (L) Correa against Helicoverpa armigera Hubner (Lepidoptera: Noctuidae)",,"['Kathirvelu Baskar', 'Selvadurai Kingsley', 'Subramanian Ezhil Vendan', 'Michael Gabrial Paulraj', 'Veeramuthu Duraipandiyan', 'Savarimuthu Ignacimuthu']",2009.0,['0045-6535'],12.0,0.0,26.0,38.0,https://scite.ai/reports/antifeedant-larvicidal-and-pupicidal-activities-ak4mLj,Larva_Lepidoptera genitalia_Helicoverpa armigera_Noctuidae_Ethyl acetate_Atalantia monophylla_Allelopathy_Instar_Traditional medicine_Botany_Biology,0.0,0.0,0.0
10.1016/j.jfineco.2007.03.007,Board classification and managerial entrenchment: Evidence from the market for corporate control,,"['Thomas W. Bates', 'David A. Becher', 'Michael L. Lemmon']",2008.0,['0304-405X'],12.0,1.0,94.0,107.0,https://scite.ai/reports/board-classification-and-managerial-entrenchment-pYDXax,Shareholder_Accounting_Business_Market for corporate control_Conventional wisdom_Single class_Managerial entrenchment_Corporate governance_Deterrence theory_Database transaction,0.0,0.0,0.0
10.1093/ejo/cjl081,Orthodontic pain: from causes to management--a review,,['V. Krishnan'],2007.0,"['0141-5387', '1460-2210']",12.0,2.0,215.0,229.0,https://scite.ai/reports/orthodontic-pain-from-causes-to-e5A03z,Psychiatry_Intensive care medicine_Alternative medicine_Clinical Practice_Mechanotherapy_Current management_Medicine,0.0,0.0,0.0
10.1111/j.1745-9125.2005.00031.x,"Collective Efficacy, Authoritative Parenting And Delinquency: A Longitudinal Test Of A Model Integrating Community-And Family-Level Processes*",,"['Ronald L. Simons', 'Leslie Gordon Simons', 'Callie Harbin Burt', 'Gene H. Brody', 'Carolyn Cutrona']",2005.0,"['0011-1384', '1745-9125']",12.0,0.0,134.0,146.0,https://scite.ai/reports/collective-efficacy-authoritative-parenting-and-arLge9,Developmental psychology_Psychology_Collective efficacy_African american_Community context_Juvenile delinquency_Social psychology,0.0,0.0,0.0
10.1111/j.1365-2664.2005.01091.x,Factors affecting susceptibility of farms to crop raiding by African elephants: using a predictive model to mitigate conflict,,"['N. W. Sitati', 'M. J. Walpole', 'N. Leader-Williams']",2005.0,['0021-8901'],12.0,1.0,116.0,129.0,https://scite.ai/reports/factors-affecting-susceptibility-of-farms-P3wgaV,Crop_Geography_Temporal scales_African elephant_Replicate_LOCAL TOLERANCE_Warning system_Early detection_Socioeconomics_Environmental protection_Deterrence theory,0.0,0.0,0.0
10.1021/jf000749t,"Acute, Sublethal, Antifeedant, and Synergistic Effects of Monoterpenoid Essential Oil Compounds on the Tobacco Cutworm,Spodoptera litura(Lep., Noctuidae)",,"['Laurin A. Hummelbrunner', 'Murray B. Isman']",2001.0,"['0021-8561', '1520-5118']",12.0,1.0,179.0,192.0,https://scite.ai/reports/acute-sublethal-antifeedant-and-synergistic-62nYzr,Acute toxicity_Cutworm_Spodoptera litura_Essential oil_Citronellal_Thymus vulgaris_Thymol_Toxicology_Terpene_Traditional medicine_Biology,0.0,0.0,0.0
10.2307/2231658,The Role of Investment in Entry-Deterrence,,['Avinash Dixit'],1980.0,['0013-0133'],12.0,2.0,495.0,509.0,https://scite.ai/reports/the-role-of-investment-in-Ad810Z,No data.,0.0,0.0,0.0
10.1007/978-3-319-14343-9_59,An Exploratory Study on Drivers and Deterrents of Collaborative Consumption in Travel,,['Iis P. Tussyadiah'],2014.0,[],11.0,0.0,152.0,163.0,https://scite.ai/reports/an-exploratory-study-on-drivers-OOd356,Hospitality_Business_Accommodation_Marketing_Empirical evidence_Tourism_Sharing economy_Sustainability_Renting_Exploratory research,0.0,0.0,0.0
10.1287/isre.1070.0160,User Awareness of Security Countermeasures and Its Impact on Information Systems Misuse: A Deterrence Approach,,"[""John D'Arcy"", 'Anat Hovav', 'Dennis Galletta']",2009.0,"['1047-7047', '1526-5536']",11.0,2.0,293.0,306.0,https://scite.ai/reports/user-awareness-of-security-countermeasures-63P0Wg,Security information and event management_Security engineering_Information security management_Security policy_Psychology_Information security awareness_Sanctions_Public relations_Deterrence theory_Security management,0.0,0.0,0.0
10.1016/j.jesp.2005.06.007,The roles of retribution and utility in determining punishment,,['Kevin M. Carlsmith'],2006.0,['0022-1031'],11.0,2.0,177.0,190.0,https://scite.ai/reports/the-roles-of-retribution-and-Z1gWmJ,Retributive justice_Psychology_Utility theory_Social attitudes_Deterrence theory_Social psychology,0.0,0.0,0.0
10.1038/sj.clpt.6100290,Influence of CYP2C9 and VKORC1 1173C/T Genotype on the Risk of Hemorrhagic Complications in African-American and European-American Patients on Warfarin,17653141.0,"['NA Limdi', 'G McGwin', 'JA Goldstein', 'TM Beasley', 'DK Arnett', 'BK Adler', 'MF Baird', 'RT Acton']",2007.0,"['0009-9236', '1532-6535']",11.0,5.0,193.0,209.0,https://scite.ai/reports/influence-of-cyp2c9-and-vkorc1-zNaVQK,Risk assessment_Internal medicine_Genotype_Surgery_Hazard ratio_Comorbidity_Severity of illness_Confidence interval_Proportional hazards model_Risk factor_Medicine,0.0,0.0,0.0
10.1080/07418828700089271,The deterrent effect of the perceived certainty and severity of punishment: A review of the evidence and issues,,['Raymond Paternoster'],1987.0,"['0741-8825', '1745-9109']",11.0,0.0,231.0,242.0,https://scite.ai/reports/the-deterrent-effect-of-the-0vxXmy,Causal model_Developmental psychology_Psychology_Perception_Doctrine_Deterrence theory_Bivariate analysis_Certainty_Social psychology_Deviance (sociology)_Spurious relationship,0.0,0.0,0.0
10.2307/1885416,From Entry Barriers to Mobility Barriers: Conjectural Decisions and Contrived Deterrence to New Competition*,,"['R. E. Caves', 'M. E. Porter']",1977.0,['0033-5533'],11.0,0.0,492.0,503.0,https://scite.ai/reports/from-entry-barriers-to-mobility-exQMZ2,Economics_Microeconomics_Diversification (marketing strategy)_Strategic group_Multimarket contact_Barriers to entry_Deterrence theory,0.0,0.0,0.0
10.1371/journal.pone.0060590,"Scale Dependent Behavioral Responses to Human Development by a Large Predator, the Puma",23613732.0,"['Christopher C. Wilmers', 'Yiwei Wang', 'Barry Nickel', 'Paul Houghtaling', 'Yasaman Shakeri', 'Maximilian L. Allen', 'Joe Kermish-Wells', 'Veronica Yovovich', 'Terrie Williams']",2013.0,['1932-6203'],10.0,1.0,189.0,200.0,https://scite.ai/reports/scale-dependent-behavioral-responses-to-6VQQgV,Functional ecology_Spatial ecology_Apex predator_Habitat_Predation_Ecology_Wildlife corridor_Puma_Biology_Predator,0.0,0.0,0.0
