doi,fields
10.1152/physrev.00020.2003,Combinatorial chemistry_Conus marmoreus_Conus striatus_Conus purpurascens_Conus textile_Conus_Conus spurius_Conus Snail_Mollusk Venoms_Biochemistry_Biology
10.1001/jamadermatol.2013.9086,Cross-sectional study_Health promotion_Psychological intervention_Extramural_Health behavior_Risk taking_Belief system_Multivariate analysis_Medicine_Applied psychology
10.1002/dta.1633,Analytical chemistry_Detection limit_Chemistry_Methylenedioxypyrovalerone_Mephedrone_Urine_Methcathinone_Immunoassay_Substance Abuse Detection_Chromatography_Biochip
10.1111/j.1365-3040.2009.02019.x,Aphid_Arabidopsis thaliana_Jasmonate_Myzus persicae_Glucosinolate_Salicylic acid_Elicitor_Arabidopsis_Botany_Biology
10.1186/1471-2229-11-2710.1186/1471-2229-11-11,Actin_Microtubule_Cortical microtubule_Cellulose microfibril_Cell morphogenesis_Morphogenesis_Pavement cells_Biology_Epidermis (botany)_Cell biology_Mutant_Aphid_Arabidopsis thaliana_Myzus persicae_Electrical penetration graph_Arabidopsis_Population_Phloem_Botany_Biology
10.1007/s00436-008-1295-7,Horticulture_Citrus × sinensis_Culex tritaeniorhynchus_Ocimum_Anopheles subpictus_Rhinacanthus nasutus_Ethyl acetate_Aphis gossypii_Botany_Nymph_Biology
10.1016/j.psychres.2010.12.015,No data.
10.1093/jxb/ern009,Nectar_Foraging_Pollination_Ecology_Mimulus_Ornithophily_Lotus_Pollination syndrome_Convergent evolution_Evolutionary biology_Biology
10.1257/app.6.4.110,Actuarial science_Economics_Censoring (statistics)_Job satisfaction_Disability insurance_Moral hazard_Long term disability_Waiting period_Deterrence theory
10.1007/s00436-009-1429-6,Median lethal dose_Essential oil_Hatching_Ammi_Anopheles stephensi_Thymol_Trachyspermum ammi_Nigella sativa_Traditional medicine_Botany_Biology
10.1016/j.biortech.2005.01.007,Biopesticide_Culex quinquefasciatus_Rosmarinus_Essential oil_Aedes aegypti_Anopheles stephensi_Officinalis_Pimpinella anisum_Traditional medicine_Botany_Biology
10.1371/journal.pone.0030040,Odorant-binding protein_Larva_Culex quinquefasciatus_Helicoverpa armigera_Pheromone_Helicoverpa_Arthropod Antennae_Botany_Sex pheromone_Biology_Zoology
10.1007/bf00941733,Ophthalmology_Monocular vision_Eye disease_Strabismus_Retina_Visual acuity_Retinopathy_Optic nerve_Maculopathy_Medicine
10.1046/j.1365-2125.2001.01306.x,Epidemiology_Public health_Pediatrics_Hospital pharmacy_Alternative medicine_Response rate (survey)_Adverse drug reaction_Yellow Card Scheme_Family medicine_Pharmacovigilance_Medicine
10.2307/3053888,Rational choice theory_Actuarial science_Economics_Salience (language)_Expected utility hypothesis_Perception_Sanctions_Narrow range_Deterrence theory_Certainty
10.1057/ejis.2009.6,Information technology_Business_Security policy_Information system_Management information systems_Public relations_Information security_Deterrence theory_Strategic information system_Information science
10.1111/j.1540-4560.1994.tb02409.x,Empirical research_Public opinion_Psychology_Need to know_Electoral politics_Rational argument_Mentally retarded_Attitude change_Deterrence theory_Social psychology
10.1007/s10886-020-01175-5,Larva_Anopheles gambiae_Attraction_Anopheles_Anopheles coluzzii_Push pull_Developmental stage_Instar_Biology_Zoology
10.1016/j.jeconbus.2009.10.001,Initial public offering_Business_Statute_Venture capital_Enterprise value_Portfolio_Corporate governance_Monetary economics
10.1111/j.1537-2995.2012.03891.x,Surgery_Behavior change_Turnover_Donation_Plasmapheresis_Lack of knowledge_Health policy_Family medicine_Focus group_Medicine_Theory of planned behavior
10.1163/156853903322370634,Sound recording and reproduction_Canto_Geography_Courtship_Attraction_Sound production_Source level_Investigation methods_Communication_Animal communication
10.1017/cbo9780511753466.010,Psychology_Cognitive science_Modus ponens_Negation_Inference_Cooperative principle_Grice_Logical form_Wason selection task_Categorical variable
10.1161/01.atv.18.7.1181,Aerobic exercise_Internal medicine_Endocrinology_Blood lipids_Physical exercise_Oxidative stress_Vitamin E_Low-density lipoprotein_Body mass index_Medicine_Analysis of variance
10.1287/mksc.5.1.20,Market structure_Market saturation_Economics_Microeconomics_New product development_Dynamic pricing_Pricing strategies_Monopoly_Time horizon_Industrial organization_Durable good
10.1007/bf00317255,Myrosinase_Isothiocyanate_Glucosinolate_Physella_Limnephilus_Gammarus_Nasturtium officinale_Watercress_Food science_Botany_Biology
10.1016/j.forsciint.2009.04.018,No data.
10.1007/s10886-011-9922-7,Geraniol_Carvone_Exudate_Geranyl acetate_Citronellol_Carveol_Rutaceae_Citral_Food science_Botany_Biology
10.2139/ssrn.135628,Welfare_Pareto principle_Economics_Empirical evidence_Industry self-regulation_Corporate environmentalism_Market economy_Social Welfare_Deterrence theory_Politics
10.1016/0094-1190(87)90004-0,Public economics_Empirical research_Business_Public sector_Actuarial science_Sanctions_Urban area_Local government_Public service_Empirical work_Deterrence theory
10.1111/j.1756-2171.2012.00170.x,Public economics_Economics_Corruption_Cartel_Monetary economics_Deterrence theory
10.1086/449268,Engineering_Human factors and ergonomics_Occupational safety and health_Injury prevention_Twenty-First Century_Accident prevention_Poison control_Computer security_Suicide prevention_Deterrence theory_Criminology
10.1186/s12884-017-1442-1,Reproductive health_Nursing_Health care_Qualitative research_Psychological intervention_Attendance_Patients' rights_Verbal abuse_Family medicine_Confidentiality_Medicine
10.1016/j.jip.2008.01.008,Biological pest control_Host (biology)_Antibiosis_Endophyte_Insect_Entomopathogenic fungi_Fungal ecology_Botany_Biology
10.1007/s00359-002-0321-y,Serial dilution_Chemistry_Stimulation_Sucrose_Proboscis extension reflex_Toxicology_Chromatography_Reflex_Dilution
10.1007/bf02197242,Demography_Biotechnology_Aldehyde dehydrogenase_Binge drinking_Ethanol_Abstinence_Alcohol abuse_Alcohol_ALDH2_Medicine_Acculturation
10.1111/j.1365-2958.2005.04747.x,Mutant_Secondary metabolite_Endophyte_Pera_Neotyphodium_Epichloë_Symbiosis_Genetics_Botany_Ribosomal RNA_Biology
10.1111/jeea.12013,Economics_Law and economics_Appeal_Enforcement_Law enforcement_License_Salient_Detection risk_Social information_Public relations_Deterrence theory
10.1007/s00442-002-0944-2,Host (biology)_Palatability_Grazing_Amphipoda_Filipendula_Mesograzer_Herbivore_Chemical defense_Botany_Biology
10.1017/cbo9780511897948,Neural fold_Neural crest_Neuroscience_Neural plate_Cranial neural crest_Cardiac neural crest cells_Neural crest cell differentiation_Neural crest formation_Neural crest cell migration_Biology
10.1038/s41467-017-01927-0,Gene_Proteome_Phenotype_Genome_Scallop_Hepatopancreas_Opsin_Evolutionary biology_Biology_Phylogenetics_Zoology
10.1111/j.1570-7458.1966.tb00973.x,Molecular biology_Fundamental difference_Food preference_Biology
10.1111/1744-7917.12023,Horticulture_Plant defense against herbivory_Aphid_Jasmonate_Electrical penetration graph_Methyl jasmonate_Salicylic acid_Sitobion avenae_Phloem_Botany_Biology
10.1111/j.1540-6261.1994.tb02461.x,Financial economics_Shareholder_Economics_Stock price_Correlation and dependence
10.1086/449163,Political science_Law_Officer_Sanctions_Apprehension_Crime displacement_Foot patrol_Deterrence theory
10.1038/sj.ijo.0801716,Internal medicine_Endocrinology_Resting energy expenditure_Lipolysis_Adipose tissue_Waist_Smoking cessation_Body mass index_Weight gain_Medicine_Basal metabolic rate
10.1016/j.paid.2010.10.032,Extraversion and introversion_Developmental psychology_Attribution_Psychology_Personality_Social dominance orientation_Big Five personality traits_Authoritarianism_Social psychology_Openness to experience_Neuroticism
10.1111/j.1751-1097.2010.00786.x,Cell wall_Biophysics_DNA damage_Pyrimidine dimer_Photoinhibition_Photosynthesis_Phloroglucinol_Lessonia nigrescens_Brown algae_Botany_Biology
10.3390/md8010173,Chemistry_Sea cucumber_Pearsonothuria_Holothuria leucospilota_Holothuria atra_Cuvierian tubules_Saponin_Holothuriidae_Marine toxin_Botany
10.1016/j.apmr.2007.09.026,Aerobic exercise_Psychology_Physical fitness_Physical exercise_Physical therapy_Aerobic conditioning_Profile of mood states_Mood_Rating of perceived exertion_Confidence interval
10.1126/science.1163732,Gene_Myrosinase_Plant cell_Enzyme_Metabolic pathway_Glucosinolate_Arabidopsis_Camalexin_Biochemistry_Biology
10.1086/673858,Pollinator_Aggressive mimicry_Predation_Ecology_Attraction_Mantis_Hymenopus coronatus_Sympatric speciation_Mimicry_Biology
10.2139/ssrn.1118305,No data.
10.1093/beheco/aru063,Social group_Ecology_Paper wasp_Relative strength_Aggression_Credibility_Polistes dominulus_Change over time_Field population_Social psychology_Biology
10.1186/1742-6405-8-28,Qualitative research_Alternative medicine_Tanzania_MEDLINE_Financial distress_Antiretroviral therapy_Pmtct service_Focus group_Medicine_Gerontology
10.1136/sti.79.6.499,Ethnic group_Demography_Survey data collection_Black Caribbean_Gynecology_Male circumcision_Human immunodeficiency virus (HIV)_Black african_Medicine_Correlation and dependence
10.1007/bf00318266,Biogeography_Phenols_Herbivore_Tropics_Brown algae_Algae_Botany_Polyphenol_Temperate climate_Biology
10.4314/ari.v5i1.48700,Prostephanus truncatus_Bostrichidae_Agronomy_Biology
10.1111/eth.12079,Nectar_Ecology_Phelsuma grandis_Gecko_Biology
10.1016/j.str.2004.08.001,Hydrogen bond_Base pair_Chemistry_DNA polymerase_DNA clamp_Active site_Nucleotide_DNA_Biochemistry_Stereochemistry_Polymerase
10.1371/journal.pone.0046438,Plankton_Algal bloom_Water column_Predation_Ecology_Heterosigma akashiwo_Phytoplankton_Population model_Biology_Predator
10.1186/s12966-014-0100-5,Level design_Built environment_Demography_Psychology_Neighbourhood (mathematics)_Walkability_Population_Public space_Multilevel model_Behavioural sciences_Gerontology
10.1111/j.1469-7998.1978.tb03344.x,Host (biology)_Pupa_Lepidoptera genitalia_Danaus chrysippus_Danaus_Euploea core_Cardenolide_Instar_Botany_Biology
10.1016/s0031-9422(98)00104-6,Chalcone synthase_Acridone_Ruta graveolens_Elicitor_Flavonoid biosynthesis_Ruta_Rhizodermis_Acridone synthase_Biochemistry_Biology
10.1038/sj.onc.1203012,Cancer_Immunology_Mdm2_Tumor suppressor gene_Mdm2 Protein_Normal cell_Malignant progression_P53 protein_Cell growth_Biology_Cell biology
10.1016/j.physbeh.2005.10.018,TAS2R38_Sweetness_Chorda tympani nerve_Taste function_Bitter taste_Food preference_Food science_Supertaster_Biology_Taste
10.1186/s12978-017-0449-4,Service provider_Public health_Psychology_Psychological intervention_Health facility_Workforce_Childbirth_Physical abuse_Population_Family medicine
10.1093/jmedent/36.2.158,Bioassay_Culex quinquefasciatus_Cynodon dactylon_Odor_Culex_Nonanal_Electroantennography_Botany_Sex pheromone_Biology_Zoology
10.1371/journal.pone.0083873,Aeronautics_Emerging technologies_Poaching_Rhinoceros_Wildlife_Remotely piloted aircraft_Video recording_Control methods_Biology
10.2307/1940803,Frugivore_Ripening_Palatability_Seed dispersal_Ecology_Vaccinium_Gaylussacia frondosa_Biological dispersal_Fungicide_Biology
10.1016/s0001-4575(98)00059-1,Engineering_Transport engineering_Enforcement_Law enforcement_Red light_Traffic signal_Accident prevention_Motor vehicle crash_Poison control_Injury control
10.1071/ah060298,Public health_Nursing_Health care_Occupational safety and health_Neglect_Population health_Child abuse_Poison control_Family medicine_Suicide prevention_Medicine
10.3945/jn.110.122457,Health education_Obstetrics_Pediatrics_Breast milk_Lactation_Weight gain_Population_Breast feeding_Anthropometry_Medicine_El Niño
10.1111/j.1365-3156.2005.01490.x,Drug resistance_Artemisinin_Pyrimethamine_Chloroquine_Malaria_Plasmodium falciparum_DHPS_Population_Biology_Pharmacology
10.1007/s004420100665,Rare species_Ecology_Histeridae_Cleridae_Bark beetle_Sympatric speciation_Guild_Interspecific competition_Biology_Sympatry
10.1111/j.1600-0706.2012.19680.x,Nutrient_Foraging_Forage_African elephant_Herbivore_Wet season_Agronomy_Surface water_Biology_Dry season
10.1080/07418820200095301,Psychology_Certainty effect_Extant taxon_Perception_Conformist_Deterrence theory_Criminology_Certainty_Social psychology
10.3354/meps059097,Plankton_Heterosigma akashiwo_Copepod_Acartia_Dinophyceae_Phytoplankton_Gymnodinium nagasakiense_Red tide_Biology_Zoology
10.1007/s004420050368,Larva_Adalia decempunctata_Adalia bipunctata_Pheromone_Coccinella septempunctata_Coccinellidae_Density dependent_Cannibalism_Botany_Biology_Zoology
10.1111/j.1440-6055.2006.00513.x,Gas chromatography–mass spectrometry_Aedes aegypti_Methyl Dodecanoate_Methyl tetradecanoate_Food science_Botany_Biology
10.1111/j.0269-8463.2005.00943.x,Animal science_Locust_Acrididae_Acridoidea_Orthoptera_Thlaspi caerulescens_Desert locust_Schistocerca_Associative learning_Botany_Biology
10.1038/232402a0,Host (biology)_Crop_Pesticide_Insect_Plant growth_After treatment_Toxicology_Biology
10.1207/s15327957pspr0301_1,Two-factor theory of emotion_Psychology_Emotionality_Emotion classification_Theoretical psychology_Arousal_Deterrence theory_Social psychology_Situational ethics
10.5424/sjar/2014124-6527,Bioassay_Horticulture_Larva_Essential oil_Heracleum persicum_Octyl acetate_Apiaceae_Fumigation_Toxicity_Botany_Biology
10.1177/0363546504269937,Basketball_Epidemiology_Physical therapy_Anterior cruciate ligament_Football_Athletes_Anterior Cruciate Ligament Injuries_Sports medicine_Medicine_Correlation and dependence
10.1078/0944-7113-00120,Chemistry_Essential oil_Aedes aegypti_Emulsion_Cymbopogon citratus_Citral_Topical Product_Lemongrass Oil_Liquid paraffin_Food science_Chromatography
10.1007/s00213-013-3043-7,Circadian rhythm_Body weight_Smoking cessation_Nicotine_Weight gain_Meal patterns_Sprague dawley rats_Physiology_Medicine_Appetite_Pharmacology
10.1111/j.0020-6598.2004.00289.x,Actuarial science_Economics_Human factors and ergonomics_Occupational safety and health_Injury prevention_Criminal behavior_Poison control_Suicide prevention_Deterrence theory_Panel data
10.1186/1742-4755-10-40,Socioeconomic status_Psychological intervention_Residence_Attendance_Birth order_Childbirth_Multivariate analysis_Medicine_Developing country_Environmental health
10.1016/j.tourman.2012.07.006,Competence (human resources)_Market segmentation_Business_Marketing_Tourism_Perception_Population_Behavioural economics_Tourism geography
10.1111/j.1365-2915.2003.00455.x,Insect repellent_Aedes aegypti_Mosquito control_Ovitrap_Aedes_Treated water_Vector surveillance_Toxicology_Conditioning_Biology
10.1016/s0955-3959(00)00070-0,Psychological intervention_Resuscitation_Methadone maintenance_Addiction_Medical emergency_Medicine
10.1126/science.209.4454.414,Insect_Cucurbita moschata_Acalymma_Epilachna tredecimnotata_Herbivore_Pest control_Botany_Biology
10.1007/s10940-006-9019-6,Psychology_Empirical evidence_Perception_Self-control_Deterrence theory_Criminology_Social psychology_Operationalization
10.1186/1741-7007-8-121,Traumatic insemination_Ecology_Pheromone_Attraction_Bedbugs_Bed bug_Cimex lectularius_Sex pheromone_Nymph_Biology_Zoology
10.1094/mpmi-21-7-0919,Plant defense against herbivory_Pieris rapae_Spodoptera_Exigua_Jasmonic acid_Arabidopsis_Pseudomonas syringae_Botany_Biology_Microbiology_Systemic acquired resistance
10.1001/jamapsychiatry.2014.3043,Psychiatry_Ceiling effect_Medical prescription_Oxycodone_Substance abuse prevention_Heroin_Opioid use disorder_Oxycodone hydrochloride_Substance abuse_Medicine
10.1016/s0145-2134(00)00218-0,Feeling_Psychology_Human factors and ergonomics_Injury prevention_Sexual abuse_Child abuse_Poison control_Suicide prevention_Clinical psychology_Victimology
10.2307/3053861,Conscience_Positive economics_Rational choice theory_Economics_Deterrence theory_Criminology
10.1023/b:joec.0000042399.06553.c6,Foraging_Ecology_Marsupial_Phascolarctidae_Myrtaceae_Folivore_Eucalyptus_Herbivore_Chemical defense_Biology
10.1016/s1470-2045(03)01079-9,Intensive care medicine_Principle of double effect_Alternative medicine_Sedative_Control symptoms_Palliative care_In patient_Advanced cancer_Symptom control_Anesthesia_Medicine
10.1016/j.biocontrol.2009.01.013,Biological pest control_Pupa_Predation_PEST analysis_Delia radicum_Crop protection_Pest control_Agronomy_Biology_Predator
10.1046/j.1365-2311.1998.00135.x,Vegetation_Spatial heterogeneity_Ecology_Grassland_Grazing_Grazing pressure_Herbivore_Species diversity_Biology_Tussock
10.1111/j.1365-2745.2010.01678.x,Plant ecology_Pollination_Ecology_Weed_Cirsium arvense_Perennation_Thistle_Dormancy_Herbivore_Biology
10.1017/s0022381611000867,No data.
10.2135/cropsci2014.09.0598,Cultigen_Minimal effect_Gene pool_photoperiodism_Botany_Vernalization_Biology
10.2308/bria.2008.20.2.89,Finance_Proxy (climate)_Accounting_Psychology_Actuarial science_Financial statement_Certification_Moral reasoning
10.1016/j.zool.2016.01.002,Aposematism_Juvenile_Predation_Ecology_Arthropod_Paraponera clavata_Cupiennius_Oophaga_Chemical defense_Biology
10.1007/bf00985017,Horticulture_Oleaceae_Tephritidae_Olive fruit fly_Hexanal_Ripeness_Dacus_Olea_Botany_Maceration (wine)_Biology
10.1007/s10995-012-0965-3,Health education_Public health_Nursing_Health care_Qualitative research_Health facility_Childbirth_Health policy_Family medicine_Medicine_Thematic analysis
10.1177/0011128794040001007,Human factors and ergonomics_Statute_Political science_Law_Waiver_Juvenile court_Poison control_Deterrence theory_Juvenile delinquency_Legislature
10.1186/1475-2875-8-248,Parasitology_Pyrethroid_Deltamethrin_Malaria_Mosquito control_Anopheles_Population_Toxicology_Veterinary medicine_Biology_Vector (epidemiology)
10.1111/j.1365-3032.1993.tb00601.x,Electrophysiology_Manduca_Canna_Manduca quinquemaculata_Sphingidae_Manduca sexta_Nervous system_Botany_Biology_Sensory system_Cell biology
10.1089/end.2010.0611,In vitro_Colonization_Urinary catheterization_Agar_Silicone_Prosthesis-Related Infection_Migration Assay_Escherichia coli_Medicine_Microbiology
10.1002/bit.23266,Nuclear chemistry_Cellulase_Chemistry_Corn stover_Lignocellulosic biomass_Cellulose_Biomass_Xylose_Enzymatic hydrolysis_Biofuel_Botany
10.1080/07418825.2011.576689,Advertising_Psychology_Human factors and ergonomics_Occupational safety and health_Injury prevention_Accident prevention_Poison control_Micro level_Suicide prevention_Deterrence theory_Criminology
10.4054/demres.2010.22.25,Survival analysis_Sociology_Demography_Human capital_Marital status_Event history_Family dynamics_Life history_Urbanization
10.1159/000324933,Public opinion_Public health_Psychology_Genomics_Potential Subject_Genomic research_General interest_Genetics_Focus group
10.1051/agro:2008021,Osmolyte_Ecophysiology_Plant physiology_Drought tolerance_Osmoprotectant_Mass screening_Plant protein_Botany_Biology_Abiotic stress
10.1016/j.jeem.2005.02.002,Business_Natural resource economics_Hazardous waste_Environmental compliance_Sanctions_Enforcement_Reputation_Spillover effect_Deterrence theory_Municipal solid waste
10.1007/bf00379112,Biogeography_Global biodiversity_Ecology_Fucales_Herbivore_Brown algae_Algae_Botany_Temperate climate_Biology_Phytogeography
10.1186/1756-3305-3-65,Pyrethroid_Anopheles gambiae_Permethrin_Malaria vector control_Long lasting_Malaria vector_Community control_Blood feeding_Toxicology_Biology
10.2307/353247,Integrated information theory_Psychology_Marital violence_Domestic violence_Deterrence theory_Criminology_Social psychology
10.1371/journal.pone.0088370,Host (biology)_Genus_Larva_Cactus_Cereus_Drosophila repleta_Drosophila koepferae_Body size_Botany_Biology
10.1111/j.1745-9125.1997.tb01230.x,Survival analysis_Psychology_Recidivism_Custodial sentence_Sentence_Rearrest_Specific deterrence_Criminology_Social psychology
10.1371/journal.pone.0064481,Transcriptome_Larva_PEST analysis_Brassicaceae_Plutella_Barbarea vulgaris_Diamondback moth_Barbarea_Botany_Biology
10.1515/jpm.2010.007,Dentistry_Young adult_Prenatal care_Pregnancy_Gingivitis_Marital status_Family medicine_Oral hygiene_Oral and maxillofacial pathology_Hygiene_Medicine
